# region_id,E1,E2,E3,nu12,nu13,nu23,G12,G13,G23,p10,p11,p12,density,conductivity,expansion,specificHeat,depvar
001,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
002,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
003,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
004,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
005,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
006,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
007,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
008,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
009,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
010,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
011,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
012,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
013,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
014,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
015,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
016,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
017,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
018,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
019,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
020,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
021,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
022,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
023,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
024,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
025,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
026,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
027,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
028,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
029,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
030,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
031,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
032,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
033,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
034,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
035,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
036,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
037,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
038,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
039,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
040,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
041,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
042,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
043,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
044,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
045,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
046,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
047,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
048,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
049,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
050,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
051,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
052,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
053,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
054,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
055,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
056,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
057,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
058,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
059,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
060,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
061,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
062,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
063,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
064,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
065,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
066,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
067,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
068,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
069,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
070,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
071,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
072,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
073,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
074,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
075,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
076,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
077,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
078,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
079,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
080,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
081,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
082,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
083,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
084,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
085,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
086,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
087,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
088,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
089,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
090,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
091,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
092,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
093,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
094,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
095,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
096,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
097,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
098,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
099,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
100,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
101,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
102,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
103,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
104,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
105,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
106,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
107,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
108,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
109,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
110,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
111,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
112,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
113,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
114,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
115,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
116,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
117,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
118,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
119,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
120,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
121,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
122,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
123,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
124,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
125,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
